Case#,name,fe1,fe2,fe3,fe4,fe5,fe6,fe7,fe8,fe9,fe10,fe11,fe12,fe13,fe14,fe15,fe16,fe17,fe18,fe19,fe20,fe21,fe22,fe23,fe24,fe25,fe26,fe27,fe28,fe29,fe30,fe31,fe32,fe33,fe34,fe35,fe36,fe37,fe38,fe39,fe40,fe41,fe42,fe43,fe44,fe45,fe46,fe47,fe48,fe49,fe50,fe51,fe52,fe53,fe54,fe55,fe56,fe57,fe58,fe59,fe60,fe61,fe62,fe63,fe64,fe65,fe66,fe67,fe68,fe69,fe70,fe71,fe72,fe73,fe74,fe75,fe76,fe77,fe78,fe79,fe80,fe81,fe82,fe83,fe84,fe85,fe86,fe87,fe88,fe89,fe90,fe91,fe92,fe93,fe94,fe95,fe96,fe97,fe98,fe99,fe100,fe101,fe102,fe103,fe104,fe105,fe106,fe107,fe108,fe109,fe110,fe111,fe112,fe113,fe114,fe115,fe116,fe117,fe118,fe119,fe120,fe121,fe122,fe123,fe124,fe125,fe126,fe127,fe128
96,Taylor Russell,-0.125347987,0.068961777,0.053666681,-0.049372278,-0.041467689,-0.027027544,0.013676677,-0.110301942,0.150050804,-0.061169203,0.2807616,-0.003075786,-0.242130831,-0.066580489,-0.060903504,0.194076076,-0.149443775,-0.155844957,-0.04988914,0.013476798,0.040265772,-0.010173976,0.051209167,0.15114212,-0.076125458,-0.336223662,-0.061862566,-0.096666627,-0.121541835,-0.098472267,-0.001990964,0.149919555,-0.240937725,-0.012927053,-0.031311531,0.100190744,-0.031542718,-0.046306394,0.146918729,0.057435215,-0.213353246,0.018238641,0.059956178,0.28762871,0.225097448,-0.013204631,0.020334844,-0.044180728,-0.031346519,-0.281541675,0.008589143,0.103744909,0.110043958,0.088333733,-0.0208667,-0.230300128,0.028839093,0.010329409,-0.156308055,-0.036441617,-0.054854821,-0.05334321,0.027723437,-0.011527793,0.351165384,0.163667306,-0.151200548,-0.063338861,0.158112854,-0.154715449,-0.06221053,0.095822223,-0.16174078,-0.197925329,-0.28442809,0.022083923,0.365854681,0.08701466,-0.237677723,0.05362967,-0.165008709,0.01616309,-0.032394364,0.144633293,-0.034508228,0.104003429,-0.104574479,-0.008265783,0.190956667,0.021979813,-0.084222518,0.298514813,0.02876411,-0.029575232,0.124430291,0.037188239,0.037993215,-0.060353547,-0.199933171,-0.063167743,-0.120678991,-0.069056459,-0.088766292,0.083160348,-0.240180358,0.125389382,0.023156749,-0.028971866,-0.055995747,0.033910226,-0.05336469,-0.044612601,0.10584113,-0.326803744,0.186380208,0.177913919,0.063970216,0.175704286,0.023701513,0.090773873,-0.060751922,-0.070477076,-0.09819027,-0.004663936,0.110335052,-0.028731471,0.082848996,0.057868943
97,Taylor Russell,-0.069012918,0.039284568,0.012305697,-0.042866491,-0.081450693,-0.010185692,-0.016637251,-0.045013405,0.122387454,-0.017065359,0.292476177,0.051775079,-0.249107629,-0.078788981,-0.103196368,0.199612468,-0.13857004,-0.149137422,-0.022625266,0.015557466,0.043144275,-0.012425454,0.039567143,0.118761398,-0.05769261,-0.340465248,-0.016857274,-0.095914043,-0.091398939,-0.093520947,0.051922757,0.137077734,-0.235747024,0.012626244,-0.015476925,0.086583562,0.00888141,-0.040122587,0.20105578,0.089756057,-0.239578813,0.037320003,0.054278079,0.290346622,0.217555344,-0.010593959,0.038288489,-0.054080892,0.037498377,-0.267422467,0.028688308,0.148330599,0.098047547,0.039851289,-0.052991755,-0.181395024,0.045276545,0.067355961,-0.205266833,-0.045683116,-0.053275544,0.008559471,0.025764745,-0.005279247,0.319872707,0.155476853,-0.127120495,-0.108154073,0.169529855,-0.166342914,-0.083902188,0.086571254,-0.167189181,-0.173322067,-0.256239176,0.005835415,0.349348038,0.050844628,-0.22234787,0.095336646,-0.153854862,-0.013045244,0.029216908,0.112165548,0.022057356,0.039753675,-0.118445836,-0.044003449,0.233245477,0.009296281,-0.059512686,0.275821477,0.028395537,-0.030567119,0.112296775,0.067487627,0.008381402,0.001508218,-0.181948289,-0.079398148,-0.105483927,-0.044135071,-0.050094895,0.053300641,-0.240228862,0.104112871,0.012141421,0.020694107,0.004334434,0.022653587,-0.045187995,-0.064436898,0.115319215,-0.276565969,0.266827136,0.126466766,0.0436766,0.12850821,0.07073205,0.083833203,-0.049088363,-0.1115826,-0.132720396,-0.014785917,0.059568886,-0.050383627,0.078212924,0.037296213
98,Taylor Russell,-0.10281539,0.055237047,0.030647833,-0.106676474,-0.044996694,0.007116353,-0.024018947,-0.152878225,0.15233016,-0.071060032,0.271889329,-0.000767888,-0.185558021,-0.136317536,-0.085144147,0.174813613,-0.178408653,-0.215565681,-0.002868757,-0.000784218,0.080033123,0.028143622,0.016189113,0.136541098,-0.123330846,-0.374184906,-0.020003166,-0.098047465,-0.088162877,-0.081760265,0.100688644,0.166555315,-0.263263702,0.076077551,-0.019744042,0.09410356,0.018219084,-0.038684823,0.144432232,0.081509642,-0.226545289,-0.029154655,0.118300617,0.215153888,0.268626273,-0.019369919,-0.027494755,-0.034516193,0.055982277,-0.276754707,-0.032377649,0.153359145,0.082298845,0.069109604,0.014621223,-0.170352936,-0.029358719,0.030570053,-0.197316021,0.019764788,-0.101454109,-0.079828918,-0.042861655,-0.099932589,0.255926728,0.154608279,-0.134035572,-0.12336842,0.175559998,-0.189174518,-0.140430078,0.09327317,-0.155146524,-0.181496978,-0.271608859,-0.019292261,0.26501295,0.097343065,-0.200983003,0.088601068,-0.073467746,0.028155323,-0.049286105,0.082812764,0.014857654,0.029739782,-0.046015687,-0.058543906,0.212849841,0.044177394,-0.060851775,0.314174861,-0.112392396,-0.002022814,0.060839072,0.022094995,0.006015038,0.005240318,-0.170974389,-0.09818124,-0.096436337,-0.047880348,-0.009474399,0.063810721,-0.216064364,0.091593228,-0.015671961,0.027575318,0.018289363,0.051724408,-0.099714503,-0.038218204,0.136790529,-0.26819849,0.310404748,0.147784784,0.061075307,0.147115037,0.086270161,0.09602946,-0.053646535,-0.0721277,-0.079880334,-0.039895527,0.073118962,-0.077039048,0.040609114,0.007511449
99,Usher Raymond,-0.159923062,0.153095201,0.075974323,-0.03339142,-0.011167687,-0.070709251,-0.068978325,-0.021322887,0.177953169,-0.087494731,0.331418753,0.063340694,-0.191491097,-0.195272878,-0.019707765,0.130797043,-0.118420489,-0.069580838,-0.058927372,-0.076312356,-0.016858738,-0.044495445,0.018746534,0.015776845,-0.080835037,-0.369453073,-0.080374859,-0.149416357,0.080479309,-0.154591039,-0.108592987,0.041107476,-0.180306777,-0.137747079,-0.024640853,0.039104264,0.008685257,0.044675462,0.165695369,0.00252443,-0.058395777,-0.087529682,0.011156205,0.305325329,0.223784313,0.076014698,0.017144289,0.067744777,0.14034678,-0.226577222,0.071388051,0.085715197,0.19476065,0.068344295,0.058987454,-0.132558674,-0.019074047,0.148871213,-0.199480727,0.116290763,0.003489188,-0.114387318,-0.178805947,0.000254326,0.356919169,0.129931733,-0.176982492,-0.083706163,0.263440251,-0.087512873,0.032334011,0.004009138,-0.120514527,-0.153531939,-0.218670189,0.125298977,0.244684637,0.197932184,-0.20895505,0.03531003,-0.16422312,-0.010895939,-0.054531325,0.02124751,-0.094918512,0.0392874,-0.07859201,-0.053205051,0.11800579,0.070455693,-0.009222555,0.264960468,-0.059950951,0.079156943,0.006442215,-0.050044708,-0.106103331,-0.110441901,-0.141218364,-0.07541395,0.070616156,-0.139863431,-0.039395716,0.105458222,-0.173432291,0.131272972,-0.021760806,0.129589647,0.037369706,0.037965748,-0.071195312,-0.091807455,0.131625757,-0.205031395,0.258164585,0.16868785,0.099183202,0.132269263,0.121340461,0.00793221,0.058668613,-0.064966008,-0.145958602,-0.094161704,0.063376382,-0.139245644,0.050664384,0.03791602
100,Usher Raymond,-0.242479414,0.125873253,0.074345864,0.003305097,-0.035051659,-0.069883496,-0.004703823,-0.008442639,0.140500829,-0.046462443,0.345442891,-0.016511111,-0.186770514,-0.205376849,-0.016834181,0.138205305,-0.121680349,-0.062428351,-0.027928274,-0.0904117,-0.018556198,-0.051146761,-0.007524076,0.057359133,-0.101084158,-0.399297982,-0.06667684,-0.141079336,0.117774941,-0.127241805,-0.0670904,0.078470685,-0.176255926,-0.093406595,0.008216774,0.109889366,0.077680379,0.06267529,0.153462932,-0.015480089,-0.064486474,-0.121315166,0.026437765,0.354075581,0.176897973,0.110631064,0.003309404,0.104187787,0.154107109,-0.217748687,0.072194412,0.082915612,0.229672611,0.028281596,0.02686657,-0.147795826,-0.012463564,0.098081201,-0.234378621,0.084075339,0.015618226,-0.094892241,-0.153408855,-0.005931392,0.364749938,0.133984521,-0.178635702,-0.104034744,0.26541093,-0.125583485,0.078921102,0.021932386,-0.12968266,-0.142357677,-0.227497622,0.161010161,0.254253268,0.177217677,-0.200282916,-0.000250065,-0.131343156,0.025410604,-0.029528292,0.038534325,-0.09446536,0.017902877,-0.116315305,-0.052466512,0.116370477,0.039079338,-0.00662527,0.234079018,-0.051766288,0.047035009,-0.029753495,-0.057855327,-0.11149738,-0.056454133,-0.076288275,-0.032907017,0.090616159,-0.101222038,0.003746274,0.103144892,-0.19899416,0.130667672,-0.048590876,0.111761339,0.030110152,0.027007179,-0.088161215,-0.088792965,0.121750928,-0.232494608,0.257230431,0.164778188,0.06347625,0.148259982,0.09278243,0.024488337,0.088005356,-0.039323587,-0.102579176,-0.095727138,0.063762568,-0.200636342,0.018729053,0.01042325
101,Usher Raymond,-0.221918583,0.119423755,0.141214117,0.009874705,-0.023812473,-0.087566927,-0.009006566,-0.025110582,0.139415249,-0.047332413,0.352519751,-0.00422204,-0.161814511,-0.230279043,0.002490373,0.165921122,-0.118030094,-0.051951457,-0.069303498,-0.093292221,-0.05586974,-0.046510939,0.017623983,0.027516529,-0.089930385,-0.393934429,-0.067101032,-0.147241414,0.107394569,-0.13563247,-0.088901378,0.081648558,-0.153601333,-0.109906286,-0.01217991,0.091641091,0.054882713,0.026889179,0.129230469,-0.028126655,-0.088344663,-0.116004594,0.032304727,0.314683884,0.158148259,0.096823074,0.018667631,0.097906329,0.157424793,-0.177044958,0.093139522,0.04887452,0.21785748,0.061125375,0.042916663,-0.118109874,0.03776516,0.103552103,-0.239725888,0.058810562,0.051838949,-0.10974738,-0.136739641,0.035161193,0.344325393,0.124461807,-0.138703749,-0.090622634,0.239155158,-0.083769724,0.073159009,0.030817205,-0.128017828,-0.120293476,-0.243116215,0.163783073,0.263798147,0.159340739,-0.191117436,-0.028736755,-0.15119046,0.009174051,-0.029984154,0.021803569,-0.112982243,0.022834402,-0.124909088,-0.065381482,0.107860625,0.05240874,-0.002231927,0.232467696,-0.013085281,0.001122117,-0.026703257,-0.059038665,-0.098930955,-0.045967624,-0.066142187,-0.049528562,0.116654225,-0.10508991,-0.016485563,0.072819129,-0.220809117,0.141078457,-0.01686712,0.108489089,0.05565571,0.024163969,-0.078002952,-0.104476236,0.110143468,-0.224087238,0.216494232,0.172783464,0.107979514,0.145324677,0.074330792,0.035646923,0.048600502,-0.063518718,-0.073658809,-0.088014856,0.104633532,-0.165942296,0.032500822,0.047797486
102,Usher Raymond,-0.216406792,0.163232595,0.099260412,-0.002193629,-0.027445735,-0.068859875,0.014620196,-0.052999135,0.169009477,-0.048034351,0.307382286,-0.003869791,-0.157086357,-0.194085822,-0.010807477,0.140741408,-0.183959872,-0.102913678,-0.089392647,-0.087910242,-0.051779758,-0.063197479,0.00679672,0.07958249,-0.036900032,-0.375702471,-0.06574221,-0.119728804,0.187250748,-0.114072718,-0.029919602,0.072645947,-0.224464133,-0.142757505,-0.030704807,0.080488533,0.117584221,0.03870029,0.165667325,-0.041145798,-0.109768681,-0.045199584,0.018949708,0.359081179,0.246188328,0.08069177,-0.01737405,0.091100745,0.12127433,-0.175735459,0.08866711,0.071630336,0.215263054,0.005580092,0.029925138,-0.151068613,-0.02923684,0.089518055,-0.203597933,0.074058324,0.062418189,-0.117897339,-0.083231747,-0.000935386,0.295400649,0.11538697,-0.100897983,-0.178325027,0.24686712,-0.134059981,0.055024356,0.046586562,-0.114573449,-0.042115647,-0.278574616,0.112703279,0.328571379,0.160625622,-0.194653302,0.003325324,-0.170501024,-0.002881109,-0.00307246,0.03539956,-0.083159715,-0.023784511,-0.134233207,-0.03042575,0.111477166,0.105624817,-0.071390338,0.196769819,-0.04814101,-0.027079331,-0.029359262,-0.059709363,-0.107261717,-0.013909417,-0.122263134,-0.061044406,0.052974112,-0.030914443,0.004731824,0.119371399,-0.187316328,0.113745771,-0.026569074,0.128768191,0.030853994,0.058270946,-0.091317952,-0.046069037,0.149244741,-0.225420207,0.251576334,0.1555572,0.049318813,0.101922721,0.092884749,0.039359745,0.071931049,-0.030848986,-0.109888278,-0.088882089,0.056544896,-0.173232526,0.114732638,0.066135645
103,Usher Raymond,-0.232195407,0.131443322,0.115861118,-0.009296576,-0.073354736,-0.083622739,0.013578038,-0.023662116,0.148460329,-0.056289144,0.339118391,-0.001993324,-0.204121038,-0.227893814,0.018942919,0.136492521,-0.14420408,-0.098958611,-0.069026344,-0.10233438,-0.01808588,-0.079439305,-0.009185827,0.05275837,-0.083573654,-0.357569546,-0.058716424,-0.129345492,0.14610973,-0.155052662,-0.087417051,0.069432236,-0.190678686,-0.127979323,-0.030636357,0.09775123,0.052946132,0.033656683,0.129314825,-0.047684178,-0.089498408,-0.07767649,0.008552581,0.311519325,0.174030557,0.121054344,0.012460448,0.094280258,0.13834925,-0.168910936,0.085885853,0.100322641,0.217762977,0.00276526,0.040407605,-0.153696358,-0.032675363,0.11254058,-0.194600582,0.087347284,0.071999297,-0.13108702,-0.16285561,-0.056672003,0.288968414,0.088288128,-0.149516106,-0.085526891,0.252193391,-0.107004993,0.051415637,0.041588023,-0.130870029,-0.096426278,-0.229470924,0.143073469,0.301460564,0.15811117,-0.177357078,-0.040570416,-0.121593259,0.021376284,-0.047345277,0.040055268,-0.117014661,0.010550169,-0.135077268,-0.032196481,0.081263244,0.072673403,0.024056016,0.211100489,-0.00956735,0.012247078,-0.044721384,-0.077052347,-0.086771399,-0.06566488,-0.061637413,-0.03549134,0.070845678,-0.141418695,-0.032742269,0.074455462,-0.171175092,0.096682772,-0.018717054,0.123582006,0.009490764,0.033954397,-0.07143224,-0.089101084,0.107356377,-0.225351691,0.200612023,0.207307294,0.077094018,0.111828879,0.071800552,0.053335011,0.051207654,-0.056715649,-0.113578416,-0.107605137,0.071188316,-0.180613205,0.05215757,0.037893169
104,Usher Raymond,-0.206705153,0.123951405,0.105372883,0.005235258,-0.021713661,-0.092712514,-0.027941978,-0.061599698,0.140494823,-0.054846138,0.33461076,0.023319725,-0.219680145,-0.187674746,-0.029426116,0.111447193,-0.143069997,-0.068041034,-0.05820179,-0.091478996,-0.055908345,-0.043559171,0.017792404,0.018398609,-0.053195462,-0.420733392,-0.071543485,-0.157297939,0.101103187,-0.076638855,-0.067846656,0.100349121,-0.162128553,-0.103800714,-0.028112914,0.089043818,0.085167356,0.068027608,0.120889597,-0.013684824,-0.059104223,-0.104367942,0.000106717,0.350566089,0.242857397,0.129403412,0.024116715,0.097469583,0.130335614,-0.21198979,0.048555695,0.079558201,0.202239215,0.016321942,0.0717512,-0.135767415,-0.026054334,0.099279284,-0.213050216,0.071854383,0.01468996,-0.095079973,-0.128915459,-0.042810105,0.360375613,0.109785378,-0.16891472,-0.049487211,0.251311809,-0.143332854,0.01854302,-0.007312153,-0.143579692,-0.126429334,-0.239987105,0.118603364,0.292206854,0.198871642,-0.188410267,0.020574851,-0.139246106,0.002104506,0.006641449,0.013657895,-0.065464169,0.00427427,-0.116222501,-0.089714065,0.133025497,0.057467472,-0.028951949,0.212148547,-0.089337446,0.029596563,-0.02839569,-0.06741412,-0.086393267,-0.043995321,-0.118191928,-0.053023458,0.05092242,-0.102106668,-0.022459785,0.045968235,-0.183980495,0.109644227,-0.022824548,0.134298339,0.041432969,-0.001935191,-0.080264591,-0.048375495,0.162645057,-0.250590354,0.271785438,0.189276233,0.055037495,0.157037735,0.067616723,0.007706861,0.041964587,-0.051506232,-0.118285634,-0.142511234,0.0617144,-0.169436023,0.058490649,0.032188583
105,Vicky,-0.188436463,0.069633543,0.11164701,-0.01344018,0.040155154,-0.073545925,0.028326534,-0.116719753,0.165539369,-0.105883002,0.326949418,0.01116731,-0.155989468,-0.229753181,0.151543498,0.134287387,-0.125090405,-0.126780748,-0.117439836,-0.120735012,-0.060228832,0.024559936,0.037018362,0.040553432,-0.185779393,-0.255546689,-0.090963468,-0.130881473,0.071807496,-0.077877171,0.026874423,0.065596141,-0.241933033,-0.011103094,-0.0072346,0.065686196,0.018670416,0.009159381,0.147632167,-0.031969152,-0.169102907,-0.085897498,-0.03536734,0.218889385,0.219220206,-0.062902205,-0.048063762,-0.022295911,0.076373681,-0.192848742,0.017669396,0.080929734,0.060507596,0.050802764,-0.030229956,-0.128188953,-0.065634817,0.050855964,-0.185848609,-0.031505976,0.006652453,-0.143807426,-0.171322942,-0.011742048,0.173215702,0.143343031,-0.126329497,-0.218180016,0.16554004,-0.1700515,0.062795602,0.20867911,-0.117292888,-0.132013977,-0.278744578,0.071753755,0.333773077,0.046797819,-0.205973595,-0.041824501,-0.201278284,0.038037769,-0.002500602,0.008406781,-0.026110785,0.010609485,-0.104518943,0.012071219,0.162502199,-0.034105394,-0.016107906,0.245028734,-0.005445189,0.004158008,0.005794605,-0.006479533,-0.004785893,-0.081271693,-0.101699173,-0.075908855,0.027236611,-0.021926571,0.01483846,0.102420077,-0.147897214,0.199302331,0.089988008,0.030943828,0.065191008,0.059400693,-0.062199116,-0.159476086,0.115379892,-0.230055287,0.145478204,0.141789392,0.018843619,0.139542013,0.018883646,0.150657997,-0.118302278,-0.009815795,-0.072542556,0.005219542,0.043848332,-0.001871646,0.015832562,-0.023809871
